sample,fluid,percentage,time(hrs),day,month,year
0,0,100.0,3.0,5.0,5.0,2023.0
0,1,12.5,3.0,5.0,5.0,2023.0
0,1,20.0,7.5,5.0,5.0,2023.0
0,2,10.0,6.0,5.0,5.0,2023.0
0,3,10.0,72.0,5.0,5.0,2023.0
0,4,10.0,6.0,5.0,5.0,2023.0
1,5,5.0,240.0,3.0,6.0,2023.0
1,5,5.0,168.0,3.0,6.0,2023.0
1,5,5.0,216.0,3.0,6.0,2023.0
1,5,5.0,192.0,3.0,6.0,2023.0
1,5,10.0,72.0,3.0,6.0,2023.0
1,3,5.0,1008.0,3.0,6.0,2023.0
1,3,8.0,600.0,3.0,6.0,2023.0
1,3,10.0,288.0,3.0,6.0,2023.0
1,6,14.0,2160.0,3.0,6.0,2023.0
2,6,14.0,2160.0,3.0,6.0,2023.0
3,6,14.0,2160.0,3.0,6.0,2023.0
4,6,14.0,2160.0,3.0,6.0,2023.0
1,6,14.0,2208.0,3.0,6.0,2023.0
2,6,14.0,2208.0,3.0,6.0,2023.0
3,6,14.0,2208.0,3.0,6.0,2023.0
4,6,14.0,2208.0,3.0,6.0,2023.0
1,6,14.0,2232.0,3.0,6.0,2023.0
2,6,14.0,2232.0,3.0,6.0,2023.0
3,6,14.0,2232.0,3.0,6.0,2023.0
4,6,14.0,2232.0,3.0,6.0,2023.0
1,6,14.0,2256.0,3.0,6.0,2023.0
2,6,14.0,2256.0,3.0,6.0,2023.0
3,6,14.0,2256.0,3.0,6.0,2023.0
4,6,14.0,2256.0,3.0,6.0,2023.0
1,6,14.0,2280.0,3.0,6.0,2023.0
2,6,14.0,2280.0,3.0,6.0,2023.0
3,6,14.0,2280.0,3.0,6.0,2023.0
4,6,14.0,2280.0,3.0,6.0,2023.0
1,6,14.0,2304.0,3.0,6.0,2023.0
2,6,14.0,2304.0,3.0,6.0,2023.0
3,6,14.0,2304.0,3.0,6.0,2023.0
1,6,14.0,2184.0,3.0,6.0,2023.0
4,6,14.0,2304.0,3.0,6.0,2023.0
1,6,14.0,2328.0,3.0,6.0,2023.0
2,6,14.0,2328.0,3.0,6.0,2023.0
3,6,14.0,2328.0,3.0,6.0,2023.0
1,7,5.0,216.0,3.0,6.0,2023.0
1,7,5.0,144.0,3.0,6.0,2023.0
1,7,5.0,168.0,3.0,6.0,2023.0
1,7,5.0,192.0,3.0,6.0,2023.0
1,7,10.0,384.0,3.0,6.0,2023.0
2,5,5.0,240.0,3.0,6.0,2023.0
2,5,5.0,216.0,3.0,6.0,2023.0
2,5,5.0,192.0,3.0,6.0,2023.0
2,5,5.0,168.0,3.0,6.0,2023.0
2,5,10.0,72.0,3.0,6.0,2023.0
2,3,5.0,1008.0,3.0,6.0,2023.0
2,3,8.0,600.0,3.0,6.0,2023.0
2,3,10.0,288.0,3.0,6.0,2023.0
2,7,5.0,216.0,3.0,6.0,2023.0
2,7,5.0,168.0,3.0,6.0,2023.0
2,7,5.0,192.0,3.0,6.0,2023.0
2,7,5.0,144.0,3.0,6.0,2023.0
4,6,14.0,2328.0,3.0,6.0,2023.0
1,6,14.0,2352.0,3.0,6.0,2023.0
2,6,14.0,2352.0,3.0,6.0,2023.0
2,6,14.0,2184.0,3.0,6.0,2023.0
3,6,14.0,2352.0,3.0,6.0,2023.0
4,6,14.0,2352.0,3.0,6.0,2023.0
1,6,14.0,2376.0,3.0,6.0,2023.0
2,6,14.0,2376.0,3.0,6.0,2023.0
3,3,5.0,1008.0,3.0,6.0,2023.0
2,8,10.0,120.0,3.0,6.0,2023.0
3,5,5.0,240.0,3.0,6.0,2023.0
3,5,5.0,192.0,3.0,6.0,2023.0
3,5,5.0,216.0,3.0,6.0,2023.0
3,5,5.0,168.0,3.0,6.0,2023.0
3,5,10.0,72.0,3.0,6.0,2023.0
4,3,5.0,1008.0,3.0,6.0,2023.0
3,3,8.0,600.0,3.0,6.0,2023.0
3,3,10.0,288.0,3.0,6.0,2023.0
3,7,5.0,216.0,3.0,6.0,2023.0
3,7,5.0,168.0,3.0,6.0,2023.0
3,7,5.0,144.0,3.0,6.0,2023.0
3,7,5.0,192.0,3.0,6.0,2023.0
3,8,10.0,120.0,3.0,6.0,2023.0
3,6,14.0,2376.0,3.0,6.0,2023.0
4,6,14.0,2376.0,3.0,6.0,2023.0
1,6,14.0,2400.0,3.0,6.0,2023.0
3,6,14.0,2184.0,3.0,6.0,2023.0
2,6,14.0,2400.0,3.0,6.0,2023.0
4,5,5.0,240.0,3.0,6.0,2023.0
4,5,5.0,192.0,3.0,6.0,2023.0
4,5,5.0,216.0,3.0,6.0,2023.0
4,5,5.0,168.0,3.0,6.0,2023.0
4,5,10.0,72.0,3.0,6.0,2023.0
4,3,8.0,600.0,3.0,6.0,2023.0
4,3,10.0,288.0,3.0,6.0,2023.0
4,7,5.0,216.0,3.0,6.0,2023.0
4,7,5.0,168.0,3.0,6.0,2023.0
4,7,5.0,192.0,3.0,6.0,2023.0
4,7,5.0,144.0,3.0,6.0,2023.0
4,6,14.0,2184.0,3.0,6.0,2023.0
3,6,14.0,2400.0,3.0,6.0,2023.0
4,6,14.0,2400.0,3.0,6.0,2023.0
4,8,10.0,120.0,3.0,6.0,2023.0
